c_target,positive,negative
5,35,651
7,35,5
11,55,830
5,55,979
13,65,5
5,65,689
5,70,854
7,70,5
11,77,7
7,77,11
17,85,5
5,85,357
13,91,7
7,91,299
5,105,833
7,105,5
11,110,345
5,110,11
17,119,854
7,119,17
13,130,775
5,130,13
5,140,854
7,140,185
11,143,13
13,143,902
11,154,980
7,154,11
11,165,5
5,165,198
17,170,5
5,170,17
5,175,483
7,175,5
13,182,301
7,182,13
17,187,363
11,187,527
13,195,5
5,195,468
5,210,7
7,210,5
11,220,5
5,220,132
17,221,13
13,221,697
11,231,7
7,231,11
17,238,7
7,238,425
5,245,329
7,245,5
17,255,5
5,255,833
13,260,850
5,260,13
13,273,343
7,273,832
11,275,5
5,275,11
5,280,651
7,280,340
11,286,767
13,286,814
11,308,7
7,308,11
5,315,7
7,315,5
13,325,690
5,325,832
11,330,895
5,330,33
17,340,5
5,340,748
5,350,7
7,350,550
17,357,385
7,357,17
13,364,672
7,364,13
17,374,77
11,374,357
11,385,910
5,385,77
7,385,55
13,390,5
5,390,78
5,420,7
7,420,895
17,425,435
5,425,17
11,429,13
13,429,363
11,440,5
5,440,616
17,442,13
13,442,17
13,455,105
5,455,91
7,455,715
11,462,420
7,462,946
17,476,49
7,476,17
5,490,7
7,490,5
11,495,5
5,495,726
17,510,5
5,510,17
13,520,570
5,520,611
5,525,623
7,525,5
11,539,504
7,539,374
13,546,7
7,546,780
11,550,15
5,550,253
5,560,504
7,560,5
17,561,11
11,561,17
11,572,416
13,572,11
13,585,835
5,585,949
17,595,35
5,595,119
7,595,850
11,605,5
5,605,946
11,616,980
7,616,902
5,630,651
7,630,235
13,637,7
7,637,715
13,650,5
5,650,624
11,660,510
5,660,682
17,663,13
13,663,391
5,665,7
7,665,685
17,680,630
5,680,17
11,693,581
7,693,825
5,700,7
7,700,5
17,714,938
7,714,17
13,715,55
11,715,65
5,715,286
13,728,616
7,728,221
5,735,7
7,735,835
17,748,11
11,748,17
17,765,5
5,765,17
11,770,35
5,770,308
7,770,55
13,780,5
5,780,13
5,805,7
7,805,610
13,819,336
7,819,702
11,825,5
5,825,11
17,833,7
7,833,17
5,840,7
7,840,5
13,845,880
5,845,871
11,847,994
7,847,176
17,850,335
5,850,952
11,858,481
13,858,11
5,875,7
7,875,390
11,880,5
5,880,11
17,884,793
13,884,17
13,910,35
5,910,364
7,910,65
11,924,392
7,924,781
17,935,55
11,935,85
5,935,187
5,945,7
7,945,160
17,952,364
7,952,799
13,975,505
5,975,39
5,980,903
7,980,5
11,990,5
5,990,11
