model,k,x,p_yes,p_no,sum,is_correct,p_err
Qwen/Qwen3-4B-instruct-2507,10,350,0.9999974966112362,1.0467381829779195e-08,0.999997507078618,True,2.5033887638414853e-06
Qwen/Qwen3-4B-instruct-2507,10,351,4.450827032509989e-07,0.9999939203633587,0.9999943654460619,False,6.079636641342923e-06
Qwen/Qwen3-4B-instruct-2507,10,352,4.4508015647462866e-07,0.9999889136593714,0.9999893587395279,False,1.1086340628629898e-05
Qwen/Qwen3-4B-instruct-2507,10,353,3.466314189697482e-07,0.9999960661089133,0.9999964127403324,False,3.933891086660424e-06
Qwen/Qwen3-4B-instruct-2507,10,354,3.9278298325024844e-07,0.9999916554191085,0.9999920482020918,False,8.344580891495035e-06
Qwen/Qwen3-4B-instruct-2507,10,355,1.8553825154416246e-07,0.9999955892755635,0.9999957748138151,False,4.410724436465507e-06
Qwen/Qwen3-4B-instruct-2507,10,356,5.043428527566997e-07,0.9999904633477849,0.9999909676906376,False,9.536652215147434e-06
Qwen/Qwen3-4B-instruct-2507,10,357,5.043447766756707e-07,0.9999946356109105,0.9999951399556872,False,5.364389089490551e-06
Qwen/Qwen3-4B-instruct-2507,10,358,4.450814298609922e-07,0.9999915362117302,0.99999198129316,False,8.463788269796879e-06
Qwen/Qwen3-4B-instruct-2507,10,359,2.699568205307921e-07,0.9999961853172863,0.9999964552741069,False,3.8146827137097716e-06
Qwen/Qwen3-4B-instruct-2507,10,360,0.9999966621509202,1.3440358680137724e-08,0.9999966755912789,True,3.337849079798616e-06
Qwen/Qwen3-4B-instruct-2507,10,361,7.338145207850498e-07,0.9999899865198352,0.999990720334356,False,1.0013480164827726e-05
Qwen/Qwen3-4B-instruct-2507,10,362,5.043428527566997e-07,0.9999901057270286,0.9999906100698813,False,9.894272971378015e-06
Qwen/Qwen3-4B-instruct-2507,10,363,5.714964134584279e-07,0.9999922514562126,0.999992822952626,False,7.748543787378104e-06
Qwen/Qwen3-4B-instruct-2507,10,364,4.450814298609922e-07,0.9999915362117302,0.99999198129316,False,8.463788269796879e-06
Qwen/Qwen3-4B-instruct-2507,10,365,2.3823583075050818e-07,0.9999949932351057,0.9999952314709364,False,5.006764894344151e-06
Qwen/Qwen3-4B-instruct-2507,10,366,5.043418907999665e-07,0.9999889136593714,0.9999894180012622,False,1.1086340628629898e-05
Qwen/Qwen3-4B-instruct-2507,10,367,5.714975035023703e-07,0.9999939203633587,0.9999944918608622,False,6.079636641342923e-06
Qwen/Qwen3-4B-instruct-2507,10,368,6.47586571312971e-07,0.9999867679437158,0.9999874155302871,False,1.3232056284229188e-05
Qwen/Qwen3-4B-instruct-2507,10,369,3.9278410701298514e-07,0.9999938011552557,0.9999941939393627,False,6.198844744287335e-06
Qwen/Qwen3-4B-instruct-2507,10,370,0.9999952316511552,1.7257762154696544e-08,0.9999952489089173,True,4.768348844774728e-06
Qwen/Qwen3-4B-instruct-2507,10,371,4.4508227878725854e-07,0.9999933243243502,0.999993769406629,False,6.675675649825408e-06
Qwen/Qwen3-4B-instruct-2507,10,372,1.3709368599402757e-06,0.9999840262101118,0.9999853971469718,False,1.597378988815734e-05
Qwen/Qwen3-4B-instruct-2507,10,373,5.043447766756707e-07,0.9999941587791524,0.9999946631239292,False,5.841220847568884e-06
Qwen/Qwen3-4B-instruct-2507,10,374,3.92782608663384e-07,0.9999907017622996,0.9999910945449083,False,9.29823770035032e-06
Qwen/Qwen3-4B-instruct-2507,10,375,1.6373708845046632e-07,0.9999957084838798,0.9999958722209682,False,4.291516120247252e-06
Qwen/Qwen3-4B-instruct-2507,10,376,9.422311043174879e-07,0.9999846222381212,0.9999855644692256,False,1.5377761878765384e-05
Qwen/Qwen3-4B-instruct-2507,10,377,3.059005701197153e-07,0.9999946356109105,0.9999949415114806,False,5.364389089490551e-06
Qwen/Qwen3-4B-instruct-2507,10,378,8.315176170715234e-07,0.9999866487378297,0.9999874802554468,False,1.3351262170280265e-05
Qwen/Qwen3-4B-instruct-2507,10,379,3.92783732425049e-07,0.999993205116773,0.9999935979005055,False,6.794883226968196e-06
Qwen/Qwen3-4B-instruct-2507,10,380,0.9999966621509202,1.0467361864851814e-08,0.9999966726182821,True,3.337849079798616e-06
Qwen/Qwen3-4B-instruct-2507,10,381,3.9278410701298514e-07,0.9999942779868433,0.9999946707709503,False,5.7220131567392585e-06
Qwen/Qwen3-4B-instruct-2507,10,382,6.475871888999462e-07,0.9999879600069962,0.9999886075941851,False,1.2039993003809535e-05
Qwen/Qwen3-4B-instruct-2507,10,383,4.450827032509989e-07,0.9999941587791524,0.9999946038618557,False,5.841220847568884e-06
Qwen/Qwen3-4B-instruct-2507,10,384,5.714925983210022e-07,0.9999853374722015,0.9999859089647999,False,1.4662527798470215e-05
Qwen/Qwen3-4B-instruct-2507,10,385,1.8553842848731202e-07,0.9999964237340748,0.9999966092725033,False,3.5762659251759032e-06
Qwen/Qwen3-4B-instruct-2507,10,386,3.4662976610628127e-07,0.9999914170043662,0.9999917636341323,False,8.582995633776846e-06
Qwen/Qwen3-4B-instruct-2507,10,387,3.059005701197153e-07,0.9999938011552557,0.9999941070558258,False,6.198844744287335e-06
Qwen/Qwen3-4B-instruct-2507,10,388,4.450810053984662e-07,0.9999907017622996,0.999991146843305,False,9.29823770035032e-06
Qwen/Qwen3-4B-instruct-2507,10,389,3.466310883964243e-07,0.9999949932351057,0.999995339866194,False,5.006764894344151e-06
Qwen/Qwen3-4B-instruct-2507,10,390,0.9999971389852362,1.18610975280741e-08,0.9999971508463338,True,2.861014763766434e-06
Qwen/Qwen3-4B-instruct-2507,10,391,4.4508312771514407e-07,0.999995112442896,0.9999955575260236,False,4.887557104038542e-06
Qwen/Qwen3-4B-instruct-2507,10,392,4.4508058093634505e-07,0.9999892712787918,0.9999897163593727,False,1.072872120821966e-05
Qwen/Qwen3-4B-instruct-2507,10,393,3.466310883964243e-07,0.9999948740268748,0.9999952206579632,False,5.125973125186256e-06
