x,x-axis,c_target,y-axis,uniqueness_score,homogeneity_score,approx_score,teaching_set,dataset,heuristic,heuristic_score,positive,negative,mean_err
25.0,0.0,5,0.0,1.0,1.0,0.6204946996466429,25,1td,uniqueness,1.0,,,
25.0,0.0,5,0.0,1.0,1.0,0.6204946996466429,25,1td,homogeneity,1.0,,,
25.0,0.0,5,0.0,1.0,1.0,0.6204946996466429,25,1td,approx,0.6204946996466429,,,
14.0,0.0,7,0.0,1.0,1.0,0.4445229681978797,14,1td,uniqueness,1.0,,,
14.0,0.0,7,0.0,1.0,1.0,0.4445229681978797,14,1td,homogeneity,1.0,,,
14.0,0.0,7,0.0,1.0,1.0,0.4445229681978797,14,1td,approx,0.4445229681978797,,,
22.0,0.0,11,0.0,1.0,1.0,0.4296819787985864,22,1td,uniqueness,1.0,,,
22.0,0.0,11,0.0,1.0,1.0,0.4296819787985864,22,1td,homogeneity,1.0,,,
22.0,0.0,11,0.0,1.0,1.0,0.4296819787985864,22,1td,approx,0.4296819787985864,,,
13.0,0.0,13,0.0,1.0,1.0,0.3088339222614837,13,1td,uniqueness,1.0,,,
13.0,0.0,13,0.0,1.0,1.0,0.3088339222614837,13,1td,homogeneity,1.0,,,
13.0,0.0,13,0.0,1.0,1.0,0.3088339222614837,13,1td,approx,0.3088339222614837,,,
34.0,0.0,17,0.0,1.0,1.0,0.3837455830388691,34,1td,uniqueness,1.0,,,
34.0,0.0,17,0.0,1.0,1.0,0.3837455830388691,34,1td,homogeneity,1.0,,,
34.0,0.0,17,0.0,1.0,1.0,0.3837455830388691,34,1td,approx,0.3837455830388691,,,
,0.5,5,0.8,0.45,0.5957446808510638,0.6160906298003075,"(825, 154)",2td,uniqueness,0.45,825.0,154.0,0.5
,0.23,5,0.77,0.36000000000000004,0.6944444444444444,0.6251152073732722,"(35, 119)",2td,homogeneity,0.6944444444444444,35.0,119.0,0.23
,0.44,5,0.81,0.21,0.4292929292929292,0.6264976958525348,"(315, 364)",2td,approx,0.6264976958525348,315.0,364.0,0.44
,0.43000000000000005,7,0.94,0.1512,0.36627906976744184,0.4599846390168971,"(455, 325)",2td,uniqueness,0.1512,455.0,325.0,0.43000000000000005
,0.63,7,0.62,0.12000000000000002,0.40416666666666673,0.46123271889400924,"(420, 155)",2td,homogeneity,0.40416666666666673,420.0,155.0,0.63
,0.47,7,0.93,0.005400000000000001,0.14705882352941174,0.4652073732718895,"(546, 390)",2td,approx,0.4652073732718895,546.0,390.0,0.47
,0.35,11,0.51,0.063,0.3390151515151515,0.4676843317972349,"(110, 185)",2td,uniqueness,0.063,110.0,185.0,0.35
,0.18,11,0.39,0.02834999999999999,0.39583333333333337,0.4676843317972349,"(55, 190)",2td,homogeneity,0.39583333333333337,55.0,190.0,0.18
,0.55,11,0.4,0.00882,0.15679824561403508,0.4859447004608294,"(990, 910)",2td,approx,0.4859447004608294,990.0,910.0,0.55
,0.53,13,0.8,0.11199999999999999,0.33986928104575165,0.44477726574500764,"(715, 440)",2td,uniqueness,0.11199999999999999,715.0,440.0,0.53
,0.33999999999999997,13,0.82,0.07200000000000001,0.36349924585218707,0.4506528417818739,"(143, 110)",2td,homogeneity,0.36349924585218707,143.0,110.0,0.33999999999999997
,0.32999999999999996,13,0.19,0.0,0.2943485086342229,0.4584485407066051,"(260, 105)",2td,approx,0.4584485407066051,260.0,105.0,0.32999999999999996
,0.48,17,1.0,0.20412,0.2916666666666667,0.41163594470046083,"(187, 715)",2td,uniqueness,0.20412,187.0,715.0,0.48
,0.5,17,1.0,0.10971999999999998,0.6538461538461539,0.40478110599078343,"(357, 672)",2td,homogeneity,0.6538461538461539,357.0,672.0,0.5
,0.45,17,0.95,0.04999999999999999,0.5875,0.4209677419354838,"(680, 770)",2td,approx,0.4209677419354838,680.0,770.0,0.45
