x,x-axis,c_target,y-axis,uniqueness_score,homogeneity_score,approx_score,teaching_set
5,0.01,5,0.0,0.95,0.9523809523809523,0.6204946996466429,5
7,0.01,7,0.07,0.95,0.9523809523809523,0.4445229681978797,7
10,0.0,5,0.02,1.0,1.0,0.6204946996466429,10
11,0.0,11,0.02,1.0,1.0,0.4296819787985864,11
13,0.0,13,0.0,1.0,1.0,0.3088339222614837,13
14,0.0,7,0.0,1.0,1.0,0.4445229681978797,14
15,0.0,5,0.04,1.0,1.0,0.6204946996466429,15
17,0.01,17,0.01,0.95,0.9523809523809523,0.3837455830388691,17
20,0.0,5,0.06,1.0,1.0,0.6204946996466429,20
21,0.0,7,0.01,1.0,1.0,0.4445229681978797,21
22,0.0,11,0.0,1.0,1.0,0.4296819787985864,22
25,0.0,5,0.0,1.0,1.0,0.6204946996466429,25
26,0.0,13,0.02,1.0,1.0,0.3088339222614837,26
28,0.01,7,0.0,0.95,0.9523809523809523,0.4445229681978797,28
30,0.0,5,0.0,1.0,1.0,0.6204946996466429,30
33,0.0,11,0.04,1.0,1.0,0.4296819787985864,33
34,0.0,17,0.0,1.0,1.0,0.3837455830388691,34
39,0.0,13,0.09,1.0,1.0,0.3088339222614837,39
40,0.0,5,0.0,1.0,1.0,0.6204946996466429,40
42,0.0,7,0.01,1.0,1.0,0.4445229681978797,42
44,0.03,11,0.0,0.855,0.8695652173913044,0.4296819787985864,44
45,0.0,5,0.04,1.0,1.0,0.6204946996466429,45
49,0.0,7,0.0,1.0,1.0,0.4445229681978797,49
50,0.0,5,0.0,1.0,1.0,0.6204946996466429,50
51,0.28,17,0.34,0.07873125000000003,0.4166666666666667,0.3837455830388691,51
52,0.11,13,0.01,0.5265000000000001,0.6451612903225807,0.3088339222614837,52
56,0.06,7,0.0,0.7,0.7692307692307692,0.4445229681978797,56
60,0.01,5,0.0,0.95,0.9523809523809523,0.6204946996466429,60
63,0.05,7,0.02,0.76,0.8,0.4445229681978797,63
66,0.2,11,0.01,0.28874999999999995,0.5,0.4296819787985864,66
68,0.44,17,0.0,0.0,0.3125,0.3837455830388691,68
75,0.0,5,0.02,1.0,1.0,0.6204946996466429,75
78,0.17,13,0.02,0.2565,0.5405405405405405,0.3088339222614837,78
80,0.0,5,0.0,1.0,1.0,0.6204946996466429,80
84,0.09,7,0.0,0.5850000000000001,0.6896551724137931,0.4445229681978797,84
88,0.24,11,0.0,0.20999999999999996,0.45454545454545453,0.4296819787985864,88
90,0.01,5,0.0,0.95,0.9523809523809523,0.6204946996466429,90
95,0.44,5,0.04,0.0,0.3125,0.6204946996466429,95
98,0.0,7,0.02,1.0,1.0,0.4445229681978797,98
99,0.03,11,0.04,0.85,0.8695652173913044,0.4296819787985864,99
100,0.09,5,0.01,0.57,0.6896551724137931,0.6204946996466429,100
102,0.4,17,0.46,0.060840000000000005,0.28260869565217395,0.3837455830388691,102
104,0.8,13,0.0,0.0,0.2,0.3088339222614837,104
112,0.72,7,0.0,0.0,0.2173913043478261,0.4445229681978797,112
115,0.75,5,0.02,0.0,0.21052631578947367,0.6204946996466429,115
117,0.78,13,0.28,0.0,0.2040816326530612,0.3088339222614837,117
120,0.44,5,0.0,0.01980000000000001,0.3125,0.6204946996466429,120
