positive,negative,c_target,y-axis,mean_err,x-axis,uniqueness_score,homogeneity_score,approx_score,teaching_set
35,119,5,0.77,0.23,0.23,0.36000000000000004,0.6944444444444444,0.6251152073732722,"(35, 119)"
35,660,7,0.64,0.3,0.3,0.0,0.25,0.46298003072196625,"(35, 660)"
55,190,11,0.39,0.18,0.18,0.02834999999999999,0.39583333333333337,0.4676843317972349,"(55, 190)"
55,242,5,0.74,0.29,0.29,0.09449999999999999,0.4423076923076923,0.6131336405529957,"(55, 242)"
65,310,13,0.53,0.33999999999999997,0.33999999999999997,0.0008400000000000005,0.21182266009852216,0.4461405529953916,"(65, 310)"
65,741,5,0.63,0.39,0.39,0.13999999999999999,0.39285714285714285,0.6004032258064519,"(65, 741)"
70,441,5,0.72,0.33,0.33,0.27,0.6785714285714286,0.6098502304147468,"(70, 441)"
70,590,7,0.54,0.32,0.32,0.012799999999999997,0.2916666666666667,0.46123271889400924,"(70, 590)"
77,418,7,0.5,0.3,0.3,0.060000000000000005,0.3344155844155844,0.4619815668202766,"(77, 418)"
77,483,11,0.58,0.36,0.36,0.0,0.18181818181818182,0.4631912442396312,"(77, 483)"
85,405,17,0.91,0.5800000000000001,0.5800000000000001,0.002999999999999999,0.031249999999999993,0.4159562211981567,"(85, 405)"
85,493,5,0.44,0.37,0.37,0.12760000000000002,0.4351851851851852,0.6014400921658989,"(85, 493)"
91,338,7,0.55,0.31,0.31,0.0315,0.3333333333333333,0.46307603686635945,"(91, 338)"
91,952,13,0.61,0.29000000000000004,0.29000000000000004,0.0048600000000000015,0.303030303030303,0.4375576036866359,"(91, 952)"
105,623,5,0.72,0.23,0.23,0.0026999999999999993,0.32995495495495497,0.6098502304147468,"(105, 623)"
105,890,7,0.73,0.25,0.25,0.0,0.20833333333333334,0.46123271889400924,"(105, 890)"
110,185,11,0.51,0.35,0.35,0.063,0.3390151515151515,0.4676843317972349,"(110, 185)"
110,979,5,0.7,0.33,0.33,0.0013499999999999996,0.2699362041467304,0.6131336405529957,"(110, 979)"
119,574,17,1.0,0.43000000000000005,0.43000000000000005,8e-05,0.1253810975609756,0.40478110599078343,"(119, 574)"
119,663,7,0.57,0.49,0.49,0.0,0.12195121951219513,0.4612903225806452,"(119, 663)"
130,429,5,0.84,0.35,0.35,0.135,0.39285714285714285,0.6032258064516132,"(130, 429)"
130,470,13,0.53,0.39,0.39,0.06859999999999998,0.3246753246753247,0.4461405529953916,"(130, 470)"
140,448,5,0.79,0.24000000000000002,0.24000000000000002,0.003,0.2583333333333333,0.6098502304147468,"(140, 448)"
140,485,7,0.71,0.38,0.38,0.0,0.20833333333333331,0.46123271889400924,"(140, 485)"
143,110,13,0.82,0.33999999999999997,0.33999999999999997,0.07200000000000001,0.36349924585218707,0.4506528417818739,"(143, 110)"
143,169,11,0.4,0.51,0.51,0.0,0.11538461538461539,0.47056451612903216,"(143, 169)"
154,869,7,0.71,0.44,0.44,0.0,0.22195121951219512,0.4619815668202766,"(154, 869)"
154,938,11,0.44,0.35,0.35,0.0056700000000000006,0.2625762195121952,0.4631912442396312,"(154, 938)"
165,638,5,0.85,0.62,0.62,0.012959999999999998,0.2538461538461539,0.6131336405529957,"(165, 638)"
165,690,11,0.52,0.7,0.7,0.0,0.1,0.4676843317972349,"(165, 690)"
170,475,17,0.89,0.41000000000000003,0.41000000000000003,0.0046,0.19642857142857145,0.4159562211981567,"(170, 475)"
170,884,5,0.61,0.45999999999999996,0.45999999999999996,0.14400000000000002,0.3625,0.6208909370199696,"(170, 884)"
175,252,5,0.54,0.54,0.54,0.0,0.12195121951219513,0.6098502304147468,"(175, 252)"
175,510,7,0.87,0.51,0.51,0.015749999999999997,0.1719512195121951,0.4644393241167435,"(175, 510)"
182,196,13,0.77,0.5900000000000001,0.5900000000000001,0.0512,0.19256756756756754,0.4378456221198156,"(182, 196)"
182,533,7,0.79,0.51,0.51,0.05292,0.31695331695331697,0.46307603686635945,"(182, 533)"
187,408,11,0.28,0.55,0.55,0.04211999999999999,0.14166666666666664,0.47252304147465424,"(187, 408)"
187,715,17,1.0,0.48,0.48,0.20412,0.2916666666666667,0.41163594470046083,"(187, 715)"
195,286,5,0.91,0.54,0.54,0.18000000000000002,0.3819444444444445,0.6032258064516132,"(195, 286)"
195,565,13,0.63,0.6200000000000001,0.6200000000000001,0.04032,0.21130952380952384,0.4461405529953916,"(195, 565)"
210,119,5,0.72,0.41000000000000003,0.41000000000000003,0.36000000000000004,0.5760233918128655,0.6251152073732722,"(210, 119)"
210,995,7,0.66,0.5700000000000001,0.5700000000000001,0.019439999999999995,0.1871345029239766,0.46123271889400924,"(210, 995)"
220,725,11,0.31,0.43,0.43,0.026999999999999996,0.23484848484848483,0.4676843317972349,"(220, 725)"
220,869,5,0.9,0.36,0.36,0.004199999999999999,0.2943722943722944,0.6131336405529957,"(220, 869)"
221,403,17,0.98,0.42,0.42,0.0007200000000000006,0.13446969696969696,0.4116935483870967,"(221, 403)"
221,918,13,0.95,0.52,0.52,0.014400000000000001,0.1534090909090909,0.44936635944700454,"(221, 918)"
231,959,11,0.43,0.44000000000000006,0.44000000000000006,0.0005999999999999997,0.18255728011825573,0.4631912442396312,"(231, 959)"
231,990,7,0.87,0.55,0.55,0.0,0.13636363636363635,0.4644777265745008,"(231, 990)"
238,442,7,0.77,0.55,0.55,0.1008,0.24431818181818182,0.4612903225806452,"(238, 442)"
238,812,17,1.0,0.39,0.39,0.05081999999999998,0.20629370629370627,0.40478110599078343,"(238, 812)"
