c_target,positive,negative
5,35,119
7,35,660
11,55,190
5,55,242
13,65,310
5,65,741
5,70,441
7,70,590
11,77,483
7,77,418
17,85,405
5,85,493
13,91,952
7,91,338
5,105,623
7,105,890
11,110,185
5,110,979
17,119,574
7,119,663
13,130,470
5,130,429
5,140,448
7,140,485
11,143,169
13,143,110
11,154,938
7,154,869
11,165,690
5,165,638
17,170,475
5,170,884
5,175,252
7,175,510
13,182,196
7,182,533
17,187,715
11,187,408
13,195,565
5,195,286
5,210,119
7,210,995
11,220,725
5,220,869
17,221,403
13,221,918
11,231,959
7,231,990
17,238,812
7,238,442
5,245,343
7,245,500
17,255,605
5,255,901
13,260,105
5,260,936
13,273,371
7,273,741
11,275,365
5,275,946
5,280,749
7,280,730
11,286,663
13,286,121
11,308,21
7,308,748
5,315,364
7,315,940
13,325,935
5,325,936
11,330,610
5,330,484
17,340,845
5,340,629
5,350,532
7,350,270
17,357,672
7,357,425
13,364,798
7,364,871
17,374,660
11,374,459
11,385,525
5,385,539
7,385,220
13,390,815
5,390,416
5,420,686
7,420,155
17,425,405
5,425,493
11,429,65
13,429,374
11,440,280
5,440,627
17,442,767
13,442,85
13,455,700
5,455,637
7,455,325
11,462,714
7,462,528
17,476,35
7,476,816
5,490,777
7,490,485
11,495,20
5,495,583
17,510,75
5,510,323
13,520,930
5,520,858
5,525,826
7,525,940
11,539,420
7,539,605
13,546,217
7,546,390
11,550,405
5,550,231
5,560,812
7,560,475
17,561,737
11,561,850
11,572,78
13,572,792
13,585,645
5,585,364
17,595,385
5,595,952
7,595,425
11,605,520
5,605,132
11,616,973
7,616,891
5,630,91
7,630,205
13,637,532
7,637,624
13,650,315
5,650,624
11,660,790
5,660,726
17,663,325
13,663,867
5,665,938
7,665,730
17,680,770
5,680,357
11,693,994
7,693,110
5,700,427
7,700,570
17,714,623
7,714,255
13,715,440
11,715,455
5,715,572
13,728,749
7,728,507
5,735,819
7,735,755
17,748,803
11,748,34
17,765,895
5,765,697
11,770,875
5,770,847
7,770,715
13,780,255
5,780,624
5,805,266
7,805,830
13,819,896
7,819,624
11,825,490
5,825,154
17,833,301
7,833,612
5,840,966
7,840,680
13,845,750
5,845,299
11,847,287
7,847,363
17,850,570
5,850,833
11,858,832
13,858,253
5,875,889
7,875,925
11,880,510
5,880,484
17,884,611
13,884,850
13,910,105
5,910,728
7,910,715
11,924,714
7,924,704
17,935,220
11,935,595
5,935,561
5,945,224
7,945,585
17,952,84
7,952,918
13,975,310
5,975,832
5,980,511
7,980,725
11,990,910
5,990,473
